Detector;Time;qPKW;vPKW
06750V2429605_1;240;11;40
17961V72812_1;240;1;40
78492V2394249_2;240;3;40
35002V72811_3;240;73;40
27372V72852_1;240;5;40
21801V72158_2;240;2;40
21801V72158_1;240;8;40
03476V41818_1;240;8;40
10236V72161_4;240;5;40
06750V2429605_4;240;6;40
27372V72852_2;240;15;40
04300V72813_3;240;18;40
10236V72161_3;240;2;40
03476V41818_2;240;16;40
46684V1842951_1;240;11;40
44656V72812_1;240;24;40
06970V72811_1;240;427;40
10236V72161_2;240;6;40
06750V2429605_3;240;9;40
46684V1842951_2;240;9;40
20570V72811_4;240;37;40
34938V72813_1;240;21;40
73951V2394243_3;240;614;40
04211V1677432_2;240;13;40
06970V72811_4;240;52;40
35002V72811_2;240;20;40
44656V72812_2;240;18;40
20570V72811_3;240;54;40
34938V72813_2;240;12;40
06970V72811_3;240;25;40
35002V72811_1;240;13;40
75341V41863_1;240;9;40
10236V72161_1;240;4;40
04300V72813_1;240;13;40
06970V72811_2;240;8;40
44210V2411509_1;240;5;40
06750V2429605_2;240;15;40
36935V72359_2;240;13;40
78492V2394249_1;240;9;40
16219V72812_4;240;4;40
81008V41567_1;240;4;40
17961V72812_3;240;6;40
17961V72812_4;240;3;40
20570V72811_1;240;20;40
77022V72359_2;240;23;40
40649V2411511_1;240;145;40
78492V2394249_3;240;30;40
73951V2394243_1;240;72;40
17961V72812_5;240;5;40
65625V41945_2;240;8;40
81077V72158_2;240;6;40
17961V72812_6;240;3;40
81077V72158_1;240;12;40
16219V72812_3;240;2;40
44656V72812_4;240;8;40
88356V72157_4;300;10;40
75341V41863_2;300;38;40
77022V72359_2;300;76;40
06970V72811_5;300;247;40
46684V1842951_1;300;37;40
36935V72359_1;300;32;40
21571V2394246_3;300;456;40
06750V2429605_1;300;55;40
21571V2394246_1;300;90;40
03476V41818_2;300;43;40
36935V72359_2;300;43;40
17961V72812_6;300;4;40
40649V2411511_1;300;265;40
04300V72813_3;300;45;40
04300V72813_1;300;40;40
88356V72157_6;300;8;40
78492V2394249_3;300;53;40
06970V72811_6;300;39;40
04211V1677432_1;300;81;40
20570V72811_3;300;222;40
44656V72812_2;300;53;40
10236V72161_1;300;6;40
81077V72158_1;300;43;40
78492V2394249_1;300;25;40
75341V41863_1;300;20;40
35002V72811_1;300;95;40
06970V72811_2;300;182;40
17961V72812_3;300;7;40
06970V72811_3;300;99;40
20570V72811_4;300;84;40
44210V2411509_1;300;24;40
46684V1842951_2;300;15;40
34938V72813_2;300;37;40
17961V72812_5;300;14;40
65625V41945_2;300;18;40
06750V2429605_3;300;21;40
35002V72811_2;300;42;40
06970V72811_4;300;153;40
10236V72161_2;300;10;40
04211V1677432_2;300;18;40
06750V2429605_2;300;27;40
34938V72813_1;300;63;40
16219V72812_4;300;16;40
35002V72811_3;300;275;40
27372V72852_2;300;25;40
06970V72811_1;300;1091;40
44656V72812_1;300;32;40
17961V72812_1;300;3;40
20570V72811_1;300;119;40
10236V72161_3;300;8;40
81077V72158_3;300;48;40
88356V72157_2;300;33;40
21801V72158_2;300;7;40
77022V72359_1;300;38;40
17961V72812_4;300;8;40
06750V2429605_4;300;10;40
63028V72219_1;300;68;40
21801V72158_1;300;22;40
81077V72158_4;300;103;40
81008V41567_1;300;19;40
10236V72161_4;300;9;40
88356V72157_1;300;4;40
73951V2394243_1;300;80;40
03476V41818_1;300;21;40
78492V2394249_4;300;74;40
16219V72812_3;300;5;40
16219V72812_1;300;30;40
16219V72812_2;300;52;40
44656V72812_3;300;3;40
44656V72812_4;300;46;40
17961V72812_2;300;30;40
78492V2394249_2;300;23;40
20570V72811_2;300;90;40
73951V2394243_3;300;419;40
27372V72852_1;300;13;40
81077V72158_2;300;22;40
17961V72812_2;360;288;40
20570V72811_3;360;604;40
06970V72811_4;360;564;40
65625V41945_2;360;110;40
34938V72813_1;360;66;40
10236V72161_2;360;33;40
04300V72813_1;360;78;40
10236V72161_1;360;27;40
06970V72811_2;360;459;40
04211V1677432_2;360;199;40
06750V2429605_3;360;37;40
73951V2394243_1;360;99;40
44656V72812_1;360;154;40
06750V2429605_2;360;71;40
88356V72157_1;360;27;40
03476V41818_1;360;44;40
35002V72811_2;360;547;40
73951V2394243_3;360;424;40
06970V72811_3;360;436;40
75341V41863_1;360;114;40
20570V72811_1;360;775;40
20570V72811_4;360;499;40
34938V72813_2;360;77;40
46684V1842951_2;360;154;40
44210V2411509_1;360;327;40
35002V72811_1;360;685;40
81077V72158_3;360;190;40
16219V72812_4;360;50;40
77022V72359_1;360;318;40
17961V72812_5;360;33;40
78492V2394249_2;360;205;40
16219V72812_3;360;6;40
06750V2429605_4;360;37;40
17961V72812_3;360;32;40
81077V72158_1;360;225;40
78492V2394249_1;360;110;40
21801V72158_1;360;95;40
17961V72812_4;360;101;40
17961V72812_1;360;20;40
03476V41818_2;360;198;40
36935V72359_2;360;274;40
27372V72852_1;360;40;40
16219V72812_2;360;236;40
88356V72157_2;360;20;40
88356V72157_6;360;39;40
21801V72158_2;360;66;40
78492V2394249_3;360;173;40
10236V72161_3;360;9;40
06750V2429605_1;360;133;40
16219V72812_1;360;149;40
06970V72811_6;360;249;40
44656V72812_3;360;16;40
04300V72813_3;360;47;40
21571V2394246_3;360;450;40
36935V72359_1;360;178;40
17961V72812_6;360;1;40
88356V72157_4;360;9;40
27372V72852_2;360;200;40
20570V72811_2;360;550;40
44656V72812_4;360;213;40
21571V2394246_1;360;111;40
81077V72158_4;360;349;40
81077V72158_2;360;136;40
40649V2411511_1;360;261;40
06970V72811_1;360;703;40
78492V2394249_4;360;494;40
10236V72161_4;360;19;40
44656V72812_2;360;320;40
04211V1677432_1;360;144;40
77022V72359_2;360;416;40
75341V41863_2;360;257;40
46684V1842951_1;360;218;40
35002V72811_3;360;720;40
06970V72811_5;360;876;40
63028V72219_1;360;202;40
81008V41567_1;360;195;40
21801V72158_2;420;301;40
06970V72811_1;420;238;40
10236V72161_4;420;47;40
06970V72811_2;420;352;40
06750V2429605_4;420;135;40
27372V72852_2;420;500;40
04300V72813_1;420;223;40
06750V2429605_3;420;104;40
17961V72812_4;420;333;40
04300V72813_3;420;108;40
65625V41945_2;420;253;40
81008V41567_1;420;253;40
78492V2394249_1;420;225;40
03476V41818_1;420;277;40
03476V41818_2;420;409;40
20570V72811_4;420;1073;40
46684V1842951_1;420;372;40
10236V72161_2;420;184;40
21801V72158_1;420;278;40
46684V1842951_2;420;270;40
78492V2394249_2;420;817;40
40649V2411511_1;420;162;40
10236V72161_3;420;46;40
27372V72852_1;420;148;40
44656V72812_2;420;620;40
88356V72157_1;420;95;40
04211V1677432_1;420;131;40
77022V72359_2;420;666;40
75341V41863_2;420;806;40
06970V72811_5;420;1167;40
16219V72812_2;420;543;40
78492V2394249_4;420;1061;40
21571V2394246_1;420;103;40
36935V72359_2;420;459;40
10236V72161_1;420;100;40
88356V72157_6;420;118;40
06750V2429605_1;420;300;40
06970V72811_6;420;576;40
78492V2394249_3;420;381;40
44656V72812_3;420;60;40
63028V72219_1;420;213;40
21571V2394246_3;420;492;40
36935V72359_1;420;251;40
81077V72158_2;420;417;40
81077V72158_4;420;392;40
88356V72157_4;420;10;40
17961V72812_6;420;1;40
44656V72812_4;420;221;40
20570V72811_2;420;1101;40
17961V72812_1;420;76;40
16219V72812_1;420;442;40
73951V2394243_1;420;135;40
88356V72157_2;420;26;40
16219V72812_4;420;222;40
17961V72812_2;420;573;40
44656V72812_1;420;525;40
17961V72812_3;420;116;40
35002V72811_1;420;1316;40
73951V2394243_3;420;483;40
20570V72811_1;420;1289;40
06970V72811_3;420;634;40
34938V72813_2;420;138;40
44210V2411509_1;420;840;40
75341V41863_1;420;253;40
17961V72812_5;420;80;40
35002V72811_3;420;1181;40
35002V72811_2;420;1171;40
06750V2429605_2;420;125;40
04211V1677432_2;420;280;40
81077V72158_1;420;377;40
06970V72811_4;420;913;40
81077V72158_3;420;372;40
77022V72359_1;420;389;40
34938V72813_1;420;172;40
20570V72811_3;420;922;40
16219V72812_3;420;43;40
81077V72158_2;480;386;40
81077V72158_4;480;144;40
81077V72158_3;480;324;40
44656V72812_3;480;67;40
16219V72812_3;480;73;40
20570V72811_1;480;979;40
21801V72158_1;480;338;40
16219V72812_2;480;666;40
06970V72811_2;480;200;40
81008V41567_1;480;126;40
06750V2429605_4;480;131;40
40649V2411511_1;480;147;40
44656V72812_1;480;542;40
34938V72813_2;480;206;40
06970V72811_3;480;589;40
20570V72811_3;480;852;40
06970V72811_4;480;739;40
34938V72813_1;480;194;40
16219V72812_4;480;262;40
04300V72813_1;480;219;40
20570V72811_4;480;869;40
06970V72811_1;480;190;40
44656V72812_4;480;94;40
44656V72812_2;480;671;40
65625V41945_2;480;247;40
06970V72811_5;480;932;40
36935V72359_2;480;280;40
20570V72811_2;480;782;40
06970V72811_6;480;486;40
36935V72359_1;480;262;40
04300V72813_3;480;145;40
27372V72852_2;480;457;40
16219V72812_1;480;470;40
81077V72158_1;480;362;40
21801V72158_2;480;368;40
88356V72157_4;480;9;40
77022V72359_2;480;535;40
17961V72812_6;480;4;40
17961V72812_5;480;81;40
17961V72812_3;480;101;40
06750V2429605_1;480;324;40
06750V2429605_3;480;131;40
88356V72157_6;480;139;40
10236V72161_3;480;81;40
46684V1842951_1;480;297;40
21571V2394246_3;480;434;40
46684V1842951_2;480;224;40
04211V1677432_2;480;211;40
21571V2394246_1;480;116;40
10236V72161_2;480;248;40
03476V41818_2;480;306;40
78492V2394249_3;480;418;40
35002V72811_3;480;1117;40
78492V2394249_1;480;218;40
75341V41863_2;480;581;40
73951V2394243_1;480;182;40
27372V72852_1;480;166;40
17961V72812_2;480;468;40
04211V1677432_1;480;71;40
35002V72811_2;480;725;40
88356V72157_1;480;125;40
78492V2394249_2;480;608;40
03476V41818_1;480;307;40
44210V2411509_1;480;677;40
77022V72359_1;480;396;40
75341V41863_1;480;331;40
35002V72811_1;480;971;40
63028V72219_1;480;124;40
17961V72812_4;480;208;40
73951V2394243_3;480;487;40
78492V2394249_4;480;1005;40
17961V72812_1;480;97;40
10236V72161_4;480;30;40
10236V72161_1;480;125;40
88356V72157_2;480;24;40
06750V2429605_2;480;103;40
06970V72811_4;540;531;40
35002V72811_2;540;348;40
04211V1677432_1;540;84;40
78492V2394249_3;540;309;40
35002V72811_3;540;806;40
44210V2411509_1;540;319;40
20570V72811_3;540;692;40
75341V41863_1;540;231;40
16219V72812_2;540;510;40
44656V72812_4;540;71;40
04211V1677432_2;540;136;40
77022V72359_2;540;326;40
17961V72812_6;540;3;40
27372V72852_1;540;156;40
21571V2394246_1;540;135;40
75341V41863_2;540;304;40
88356V72157_1;540;98;40
81077V72158_3;540;238;40
44656V72812_3;540;57;40
77022V72359_1;540;261;40
63028V72219_1;540;144;40
78492V2394249_4;540;498;40
81077V72158_4;540;161;40
16219V72812_1;540;367;40
20570V72811_1;540;437;40
88356V72157_2;540;18;40
17961V72812_1;540;51;40
73951V2394243_3;540;511;40
44656V72812_2;540;589;40
21571V2394246_3;540;433;40
17961V72812_2;540;258;40
36935V72359_1;540;161;40
06970V72811_6;540;371;40
20570V72811_2;540;428;40
16219V72812_3;540;58;40
88356V72157_6;540;98;40
73951V2394243_1;540;470;40
06970V72811_3;540;455;40
06750V2429605_1;540;240;40
36935V72359_2;540;168;40
06970V72811_5;540;658;40
81077V72158_2;540;212;40
88356V72157_4;540;8;40
16219V72812_4;540;126;40
34938V72813_1;540;131;40
46684V1842951_1;540;171;40
27372V72852_2;540;261;40
10236V72161_1;540;116;40
06970V72811_2;540;210;40
81008V41567_1;540;144;40
17961V72812_5;540;95;40
17961V72812_3;540;124;40
21801V72158_2;540;218;40
06750V2429605_4;540;96;40
20570V72811_4;540;546;40
65625V41945_2;540;167;40
46684V1842951_2;540;146;40
40649V2411511_1;540;205;40
10236V72161_2;540;166;40
04300V72813_1;540;115;40
06750V2429605_3;540;116;40
17961V72812_4;540;106;40
06970V72811_1;540;184;40
81077V72158_1;540;189;40
10236V72161_4;540;41;40
78492V2394249_2;540;213;40
04300V72813_3;540;134;40
03476V41818_1;540;193;40
10236V72161_3;540;68;40
21801V72158_1;540;226;40
03476V41818_2;540;205;40
34938V72813_2;540;105;40
78492V2394249_1;540;130;40
06750V2429605_2;540;111;40
35002V72811_1;540;445;40
44656V72812_1;540;462;40
16219V72812_3;600;74;40
06750V2429605_4;600;140;40
88356V72157_4;600;17;40
20570V72811_2;600;414;40
65625V41945_2;600;179;40
