Detector,Time,qPKW
10236V72161_1,1190,1
10236V72161_2,1190,1
10236V72161_3,1190,1
16219V72812_1,1190,2
21801V72158_1,1190,1
81077V72158_2,1190,1
88356V72157_6,1190,1
04300V72813_1,1200,1
10236V72161_1,1200,1
16219V72812_1,1210,1
16219V72812_2,1210,1
04211V1677432_1,1220,1
04300V72813_1,1220,1
10236V72161_4,1220,1
16219V72812_1,1220,1
21801V72158_1,1220,1
27372V72852_1,1220,1
27372V72852_2,1220,1
81077V72158_1,1220,1
10236V72161_4,1230,1
16219V72812_1,1230,2
16219V72812_2,1230,1
27372V72852_1,1230,1
27372V72852_2,1230,1
16219V72812_1,1240,3
81077V72158_2,1240,1
81077V72158_3,1240,1
10236V72161_4,1250,1
16219V72812_1,1250,2
16219V72812_2,1250,1
04300V72813_1,1260,1
04300V72813_3,1260,2
10236V72161_1,1260,1
16219V72812_2,1260,1
21801V72158_1,1260,1
27372V72852_1,1260,1
04300V72813_3,1270,3
16219V72812_1,1270,1
16219V72812_2,1270,1
21801V72158_1,1270,1
04300V72813_3,1280,2
10236V72161_2,1280,1
16219V72812_1,1280,2
16219V72812_2,1280,2
21801V72158_1,1280,1
04300V72813_3,1290,1
10236V72161_2,1290,1
16219V72812_4,1290,1
21801V72158_1,1290,1
27372V72852_1,1290,1
04300V72813_1,1300,1
04300V72813_3,1300,1
10236V72161_1,1300,1
10236V72161_2,1300,1
27372V72852_2,1300,1
81077V72158_2,1300,1
88356V72157_1,1300,1
88356V72157_6,1310,1
16219V72812_1,1320,1
88356V72157_4,1320,1
04211V1677432_2,1330,1
04300V72813_3,1330,1
10236V72161_1,1330,1
10236V72161_2,1330,2
10236V72161_3,1330,1
16219V72812_1,1330,1
10236V72161_1,1340,1
10236V72161_2,1340,1
16219V72812_1,1340,2
21801V72158_1,1340,2
27372V72852_2,1340,1
04300V72813_3,1350,1
10236V72161_1,1350,1
10236V72161_2,1350,1
10236V72161_4,1350,1
16219V72812_1,1350,1
21801V72158_1,1350,1
21801V72158_2,1350,1
81077V72158_2,1350,1
10236V72161_1,1360,1
10236V72161_2,1360,2
04300V72813_1,1370,1
04300V72813_3,1370,1
10236V72161_4,1370,1
16219V72812_2,1370,1
81077V72158_1,1370,1
04300V72813_1,1380,1
16219V72812_2,1380,1
21801V72158_1,1380,1
16219V72812_1,1390,1
16219V72812_2,1390,2
21801V72158_1,1390,1
81077V72158_4,1390,1
