Detector;Time;qPKW;vPKW
21801V72158_1;1320;123;40
27372V72852_2;1320;70;40
81077V72158_1;1320;63;40
27372V72852_1;1320;130;40
16219V72812_4;1320;23;40
04300V72813_1;1320;137;40
81077V72158_2;1320;134;40
16219V72812_1;1320;193;40
21801V72158_2;1320;39;40
10236V72161_1;1320;42;40
81077V72158_3;1320;99;40
04211V1677432_2;1320;69;40
88356V72157_4;1320;7;40
10236V72161_3;1320;35;40
10236V72161_2;1320;59;40
16219V72812_3;1320;16;40
04211V1677432_1;1320;31;40
16219V72812_2;1320;133;40
04300V72813_3;1320;162;40
88356V72157_6;1320;46;40
81077V72158_4;1320;17;40
04211V1677432_2;1380;28;40
04300V72813_3;1380;101;40
10236V72161_1;1380;31;40
10236V72161_2;1380;55;40
10236V72161_3;1380;36;40
27372V72852_1;1380;74;40
88356V72157_6;1380;27;40
27372V72852_2;1380;41;40
16219V72812_1;1380;93;40
16219V72812_2;1380;64;40
16219V72812_3;1380;15;40
16219V72812_4;1380;20;40
81077V72158_1;1380;41;40
81077V72158_2;1380;71;40
81077V72158_3;1380;30;40
88356V72157_1;1380;20;40
04300V72813_1;1380;88;40
21801V72158_1;1380;47;40
21801V72158_2;1380;9;40
